TOWN_ID,PUB_ACCESS,LEV_PROT,GIS_ACRES,SHAPE_AREA,PRIM_PURP,Town,NAME,Households,Median income,,,
37.0,"Y, X, L, N","P, L, N",1652.31289462,6686673.184247100,"C, R, B, O, H, A",BOXBOROUGH,"Boxborough town, Middlesex County, Massachusetts",2180,136875,,,
38.0,"L, Y, X, N","P, L, N",4132.63904352,16724201.61106110,"C, H, B, A, W, R",BOXFORD,"Boxford town, Essex County, Massachusetts",2867,187813,,,
39.0,"Y, N, L, X","L, P, N",4242.22998568,17167695.500941200,"R, A, W, H, C, X",BOYLSTON,"Boylston town, Worcester County, Massachusetts",1834,127833,,,
40.0,"Y, L, X, N","P, L, N",2001.65873508,8100425.507438620,"B, H, R, C, F, W",BRAINTREE,"Braintree Town city, Norfolk County, Massachusetts",14384,114916,,,
41.0,"Y, L, N, X","P, N, L, X",5747.04849052,23257487.150222900,"C, R, B, W, H",BREWSTER,"Brewster town, Barnstable County, Massachusetts",4605,88110,,,
42.0,"Y, X, N, L","P, L",2972.62997095,12029838.752176900,"C, W, B, H, O, R",BRIDGEWATER,"Bridgewater Town city, Plymouth County, Massachusetts",8690,107757,,,
43.0,"Y, N, L","P, L, N",3852.2363505,15589447.415695400,"F, C, A, H, B, R",BRIMFIELD,"Brimfield town, Hampden County, Massachusetts",1503,84830,,,
44.0,"Y, N, L","L, N, P",1553.3868547,6286334.31015561,"R, H, B, C",BROCKTON,"Brockton city, Plymouth County, Massachusetts",35092,68067,,,
45.0,"N, Y, L","P, L, N",3485.78619547,14106514.10656660,"A, R, H, C",BROOKFIELD,"Brookfield town, Worcester County, Massachusetts",1395,75329,,,
46.0,"Y, N, L, X","P, L, N",902.10999371,3650709.31052579,"R, C, H, B, W, O",BROOKLINE,"Brookline town, Norfolk County, Massachusetts",26762,122356,,,
47.0,"Y, L, N, X","P, N, L",1166.52367562,4727060.997003870,"B, R, C, A, H",BUCKLAND,"Buckland town, Franklin County, Massachusetts",886,66681,,,
48.0,"X, Y, L, N","P, L, N",1309.00459618,5297353.656779290,"W, O, R, C, H, B",BURLINGTON,"Burlington town, Middlesex County, Massachusetts",10093,124755,,,
49.0,"Y, L","P, L, X, N",668.51621134,2705401.183716370,"R, H, C, B, O, W",CAMBRIDGE,"Cambridge city, Middlesex County, Massachusetts",47777,112565,,,
50.0,"N, Y, L, X","P, L, N",4061.1119715200000,16434740.49769590,"C, B, W, R, X, H",CANTON,"Canton town, Norfolk County, Massachusetts",9305,118814,,,
51.0,"N, Y, L, X","P, L",3220.90674459,13034551.102980300,"C, O, B, A, R",CARLISLE,"Carlisle town, Middlesex County, Massachusetts",1800,216000,,,
52.0,"Y, L, X","P, L, N",3532.60494433,14295949.928950900,"C, R, H, B, W",CARVER,"Carver town, Plymouth County, Massachusetts",4648,61811,,,
53.0,"N, Y, L, X","P, N, L",3793.48758756,15351697.81485300,"A, R, C, B, H",CHARLEMONT,"Charlemont town, Franklin County, Massachusetts",498,51797,,,
54.0,"Y, N, L, X","P, N, L",3151.8149237900000,12754944.27022400,"C, B, R, A, H, F",CHARLTON,"Charlton town, Worcester County, Massachusetts",4776,106558,,,
55.0,"Y, N, L, X","P, L, N, X",3703.41201277,14987177.160542700,"O, C, R, H, B, W",CHATHAM,"Chatham town, Barnstable County, Massachusetts",3164,88750,,,
